ID_Orden,Producto,Cantidad,Fecha_Compra,Direccion,Precio_Unitario
1000,Monitor 4K,4,2025-10-21 13:27:00,Sevilla,399
1001,Teclado Mecánico,2,2025-04-08 23:39:00,Madrid,120
1002,Cargador USB-C,3,2025-08-05 00:29:00,Valencia,25
1003,Cargador USB-C,2,2025-01-12 06:52:00,Sevilla,25
1004,Cargador USB-C,4,2025-11-04 18:52:00,Barcelona,25
1005,Cargador USB-C,3,2025-07-20 01:39:00,Sevilla,25
1006,MacBook Pro,4,2025-06-01 18:39:00,Valencia,1499
1007,Cargador USB-C,2,2025-02-04 19:57:00,Barcelona,25
1008,Teclado Mecánico,2,2025-06-10 17:27:00,Sevilla,120
1009,Cargador USB-C,3,2025-10-12 23:34:00,Barcelona,25
1010,Monitor 4K,1,2025-07-30 14:41:00,Sevilla,399
1011,Google Pixel 8,2,2025-10-07 00:55:00,Bilbao,699
1012,Monitor 4K,4,2025-07-04 18:02:00,Valencia,399
1013,Cargador USB-C,2,2025-09-11 11:57:00,Bilbao,25
1014,Cargador USB-C,4,2025-04-08 04:49:00,Valencia,25
1015,MacBook Pro,2,2025-10-02 03:17:00,Madrid,1499
1016,Google Pixel 8,3,2025-06-28 17:42:00,Valencia,699
1017,,4,2025-03-31 20:13:00,Madrid,999
1018,Teclado Mecánico,4,2025-10-24 04:30:00,Barcelona,120
1019,,2,2025-09-30 05:03:00,Barcelona,699
1020,Teclado Mecánico,2,2025-07-01 17:54:00,Sevilla,120
1021,Cargador USB-C,2,2025-02-14 15:23:00,Barcelona,25
1022,Cargador USB-C,3,2025-08-09 10:46:00,Barcelona,25
1023,Monitor 4K,4,2025-06-21 01:10:00,Valencia,399
1024,Monitor 4K,1,2025-07-02 21:28:00,Barcelona,399
1025,iPhone 15,1,2025-01-31 14:03:00,Barcelona,999
1026,AirPods Pro,3,2025-01-26 22:39:00,Bilbao,249
1027,iPhone 15,3,2025-03-23 21:04:00,Barcelona,999
1028,Cargador USB-C,4,2025-10-07 20:45:00,Barcelona,25
1029,Teclado Mecánico,4,2025-03-26 14:31:00,Madrid,120
1030,iPhone 15,1,2025-09-25 11:46:00,Valencia,999
1031,,2,2025-01-11 17:15:00,Sevilla,999
1032,iPhone 15,3,2025-10-18 22:08:00,Madrid,999
1033,Cargador USB-C,4,2025-07-25 22:11:00,Valencia,25
1034,Teclado Mecánico,4,2025-09-19 17:43:00,Madrid,120
1035,Google Pixel 8,1,2025-12-17 07:15:00,Barcelona,699
1036,iPhone 15,1,2025-05-14 06:25:00,Barcelona,999
1037,MacBook Pro,1,2025-10-30 19:20:00,Valencia,1499
1038,MacBook Pro,3,2025-06-24 15:46:00,Sevilla,1499
1039,Google Pixel 8,1,2025-08-15 08:51:00,Bilbao,699
1040,Teclado Mecánico,1,2025-11-29 01:04:00,Valencia,120
1041,MacBook Pro,2,2025-02-06 05:45:00,Barcelona,1499
1042,,3,2025-12-07 17:50:00,Barcelona,999
1043,iPhone 15,1,2025-10-28 04:21:00,Bilbao,999
1044,Cargador USB-C,2,2025-09-28 06:34:00,Barcelona,25
1045,Teclado Mecánico,3,2025-12-01 21:34:00,Valencia,120
1046,MacBook Pro,1,2025-11-22 20:11:00,Bilbao,1499
1047,MacBook Pro,2,2025-11-27 06:29:00,Valencia,1499
1048,Cargador USB-C,4,2025-11-04 16:56:00,Valencia,25
1049,Teclado Mecánico,2,2025-10-14 05:24:00,Valencia,120
1050,iPhone 15,2,2025-05-03 15:05:00,Valencia,999
1051,MacBook Pro,2,2025-08-29 09:39:00,Bilbao,1499
1052,AirPods Pro,3,2025-10-30 13:51:00,Valencia,249
1053,MacBook Pro,1,2025-08-05 09:33:00,Sevilla,1499
1054,Cargador USB-C,1,2025-08-03 18:37:00,Valencia,25
1055,Teclado Mecánico,1,2025-08-26 22:21:00,Madrid,120
1056,Google Pixel 8,2,2025-01-09 18:16:00,Barcelona,699
1057,Cargador USB-C,4,2025-09-17 11:47:00,Sevilla,25
1058,Google Pixel 8,3,2025-03-09 02:29:00,Barcelona,699
1059,Monitor 4K,1,2025-10-19 17:16:00,Valencia,399
1060,Monitor 4K,1,2025-10-04 04:14:00,Madrid,399
1061,Monitor 4K,2,2025-05-12 01:52:00,Madrid,399
1062,Cargador USB-C,3,2025-10-24 13:59:00,Valencia,25
1063,iPhone 15,2,2025-01-24 17:55:00,Madrid,999
1064,AirPods Pro,1,2025-08-14 16:18:00,Valencia,249
1065,,4,2025-11-16 06:12:00,Madrid,699
1066,Google Pixel 8,1,2025-05-11 09:14:00,Valencia,699
1067,Teclado Mecánico,3,2025-07-07 22:26:00,Bilbao,120
1068,AirPods Pro,4,2025-08-10 17:29:00,Valencia,249
1069,Google Pixel 8,3,2025-10-21 00:47:00,Barcelona,699
1070,Cargador USB-C,2,2025-01-14 10:23:00,Barcelona,25
1071,Cargador USB-C,3,2025-02-03 23:27:00,Bilbao,25
1072,Monitor 4K,4,2025-11-23 00:44:00,Sevilla,399
1073,AirPods Pro,3,2025-03-22 18:22:00,Madrid,249
1074,AirPods Pro,2,2025-05-17 03:46:00,Barcelona,249
1075,Teclado Mecánico,3,2025-10-06 00:48:00,Madrid,120
1076,Monitor 4K,2,2025-11-20 06:08:00,Valencia,399
1077,AirPods Pro,2,2025-08-11 08:32:00,Bilbao,249
1078,Cargador USB-C,3,2025-02-21 07:17:00,Bilbao,25
1079,Cargador USB-C,2,2025-08-07 09:48:00,Madrid,25
1080,MacBook Pro,4,2025-11-29 21:41:00,Barcelona,1499
1081,Teclado Mecánico,3,2025-10-29 22:45:00,Sevilla,120
1082,Google Pixel 8,2,2025-10-26 02:50:00,Barcelona,699
1083,Cargador USB-C,3,2025-08-20 01:28:00,Bilbao,25
1084,Teclado Mecánico,2,2025-02-28 02:21:00,Madrid,120
1085,Teclado Mecánico,3,2025-04-06 00:18:00,Valencia,120
1086,AirPods Pro,4,2025-11-19 00:41:00,Bilbao,249
1087,Cargador USB-C,3,2025-12-27 02:06:00,Sevilla,25
1088,iPhone 15,2,2025-01-26 05:03:00,Barcelona,999
1089,MacBook Pro,2,2025-03-29 11:42:00,Bilbao,1499
1090,Cargador USB-C,2,2025-06-20 19:45:00,Sevilla,25
1091,AirPods Pro,4,2025-05-14 12:50:00,Sevilla,249
1092,Teclado Mecánico,1,2025-02-24 20:44:00,Barcelona,120
1093,Monitor 4K,4,2025-07-23 10:13:00,Barcelona,399
1094,iPhone 15,2,2025-10-28 07:48:00,Sevilla,999
1095,MacBook Pro,1,2025-06-01 08:36:00,Madrid,1499
1096,Google Pixel 8,1,2025-12-28 19:21:00,Valencia,699
1097,Cargador USB-C,3,2025-03-19 14:16:00,Barcelona,25
1098,AirPods Pro,2,2025-12-01 07:41:00,Madrid,249
1099,Cargador USB-C,1,2025-04-01 11:53:00,Valencia,25
1100,Teclado Mecánico,4,2025-03-29 04:53:00,Barcelona,120
1101,Monitor 4K,3,2025-04-30 09:45:00,Barcelona,399
1102,,1,2025-02-07 03:21:00,Bilbao,120
1103,MacBook Pro,1,2025-04-19 04:06:00,Madrid,1499
1104,Teclado Mecánico,4,2025-05-18 02:25:00,Madrid,120
1105,Google Pixel 8,2,2025-06-19 14:29:00,Barcelona,699
1106,MacBook Pro,3,2025-06-12 21:44:00,Valencia,1499
1107,Cargador USB-C,1,2025-01-26 04:47:00,Barcelona,25
1108,Teclado Mecánico,4,2025-07-07 10:15:00,Valencia,120
1109,Monitor 4K,1,2025-03-25 08:48:00,Barcelona,399
1110,Monitor 4K,1,2025-10-30 00:36:00,Valencia,399
