id_venta,fecha,producto,cliente_id,costo_unitario,cantidad,metodo_pago,pais,satisfaccion,precio_venta,ingreso_total,utilidad,tendencia_utilidad
1,2024-01-01 00:00:00,Headphones,4166,212.56623774010717,1,Transfer,USA,1,276.3361090621393,276.3361090621393,63.769871322032145,640.211494539913
2,2024-01-01 00:10:00,Laptop,292,293.5438354468539,2,Credit Card,UK,2,381.6069860809101,763.2139721618202,176.12630126811234,640.2113802176061
3,2024-01-01 00:20:00,Tablet,2017,705.4979428230292,4,PayPal,Estonia,2,917.147325669938,3668.589302679752,846.5975313876352,640.2112658952992
4,2024-01-01 00:30:00,Smartphone,4967,594.7813626912878,9,PayPal,Mexico,5,773.2157714986741,6958.941943488067,1605.9096792664777,640.2111515729923
5,2024-01-01 00:40:00,Smartwatch,3820,492.46048550869216,8,Transfer,USA,4,640.1986311612998,5121.589049290398,1181.905165220861,640.2110372506854
6,2024-01-01 00:50:00,Smartphone,4085,616.9864330548911,7,Credit Card,UK,2,802.0823629713585,5614.5765407995095,1295.6715094152714,640.2109229283785
7,2024-01-01 01:00:00,Laptop,3279,164.25940504125603,5,PayPal,Canada,3,213.53722655363285,1067.6861327681643,246.3891075618841,640.2108086060716
8,2024-01-01 01:10:00,Smartphone,1838,156.76655952283303,6,PayPal,USA,3,203.79652737968294,1222.7791642780976,282.17980714109945,640.2106942837647
9,2024-01-01 01:20:00,Headphones,3987,448.8251604092581,6,Crypto,UK,4,583.4727085320355,3500.8362511922132,807.8852887366647,640.2105799614578
10,2024-01-01 01:30:00,Laptop,3625,162.0726036837533,8,PayPal,Germany,4,210.6943847888793,1685.5550783110343,388.9742488410079,640.210465639151
11,2024-01-01 01:40:00,Tablet,1914,720.509375213234,3,Transfer,Canada,5,936.6621877772042,2809.9865633316126,648.4584376919106,640.2103513168441
12,2024-01-01 01:50:00,Headphones,4413,499.67311840249573,4,Transfer,USA,4,649.5750539232445,2598.300215692978,599.607742082995,640.2102369945372
13,2024-01-01 02:00:00,Laptop,1942,223.25398437001698,3,Credit Card,Estonia,4,290.2301796810221,870.6905390430663,200.92858593301537,640.2101226722303
14,2024-01-01 02:10:00,Laptop,2567,637.6623341860225,6,Credit Card,USA,4,828.9610344418293,4973.766206650976,1147.7922015348408,640.2100083499234
15,2024-01-01 02:20:00,Smartphone,1751,136.90005406535334,6,Transfer,UK,5,177.97007028495935,1067.8204217097561,246.42009731763608,640.2098940276165
16,2024-01-01 02:30:00,Tablet,1316,334.5614836506423,5,PayPal,Estonia,3,434.929928745835,2174.6496437291753,501.8422254759639,640.2097797053096
17,2024-01-01 02:40:00,Tablet,3442,379.09089921034143,6,PayPal,Mexico,3,492.8181689734439,2956.9090138406636,682.3636185786149,640.2096653830027
18,2024-01-01 02:50:00,Laptop,296,545.403909359628,3,Crypto,Estonia,4,709.0250821675164,2127.0752465025494,490.8635184236655,640.2095510606958
19,2024-01-01 03:00:00,Headphones,1514,464.94697392166717,5,PayPal,Canada,3,604.4310660981673,3022.1553304908366,697.4204608825007,640.209436738389
20,2024-01-01 03:10:00,Smartwatch,1849,63.561859731171715,6,Transfer,Mexico,5,82.63041765052323,495.7825059031394,114.41134751610912,640.209322416082
