ID_Orden,Producto,Cantidad,Fecha_Compra,Direccion,Precio_Unitario,Mes,Venta_Total
1000,Monitor 4K,4,2025-10-21 13:27:00,Sevilla,399,10,1596
1001,Teclado Mecánico,2,2025-04-08 23:39:00,Madrid,120,4,240
1002,Cargador USB-C,3,2025-08-05 00:29:00,Valencia,25,8,75
1003,Cargador USB-C,2,2025-01-12 06:52:00,Sevilla,25,1,50
1004,Cargador USB-C,4,2025-11-04 18:52:00,Barcelona,25,11,100
1005,Cargador USB-C,3,2025-07-20 01:39:00,Sevilla,25,7,75
1006,MacBook Pro,4,2025-06-01 18:39:00,Valencia,1499,6,5996
1007,Cargador USB-C,2,2025-02-04 19:57:00,Barcelona,25,2,50
1008,Teclado Mecánico,2,2025-06-10 17:27:00,Sevilla,120,6,240
1009,Cargador USB-C,3,2025-10-12 23:34:00,Barcelona,25,10,75
1010,Monitor 4K,1,2025-07-30 14:41:00,Sevilla,399,7,399
1011,Google Pixel 8,2,2025-10-07 00:55:00,Bilbao,699,10,1398
1012,Monitor 4K,4,2025-07-04 18:02:00,Valencia,399,7,1596
1013,Cargador USB-C,2,2025-09-11 11:57:00,Bilbao,25,9,50
1014,Cargador USB-C,4,2025-04-08 04:49:00,Valencia,25,4,100
1015,MacBook Pro,2,2025-10-02 03:17:00,Madrid,1499,10,2998
1016,Google Pixel 8,3,2025-06-28 17:42:00,Valencia,699,6,2097
1018,Teclado Mecánico,4,2025-10-24 04:30:00,Barcelona,120,10,480
1020,Teclado Mecánico,2,2025-07-01 17:54:00,Sevilla,120,7,240
1021,Cargador USB-C,2,2025-02-14 15:23:00,Barcelona,25,2,50
1022,Cargador USB-C,3,2025-08-09 10:46:00,Barcelona,25,8,75
1023,Monitor 4K,4,2025-06-21 01:10:00,Valencia,399,6,1596
1024,Monitor 4K,1,2025-07-02 21:28:00,Barcelona,399,7,399
1025,iPhone 15,1,2025-01-31 14:03:00,Barcelona,999,1,999
1026,AirPods Pro,3,2025-01-26 22:39:00,Bilbao,249,1,747
1027,iPhone 15,3,2025-03-23 21:04:00,Barcelona,999,3,2997
1028,Cargador USB-C,4,2025-10-07 20:45:00,Barcelona,25,10,100
1029,Teclado Mecánico,4,2025-03-26 14:31:00,Madrid,120,3,480
1030,iPhone 15,1,2025-09-25 11:46:00,Valencia,999,9,999
1032,iPhone 15,3,2025-10-18 22:08:00,Madrid,999,10,2997
1033,Cargador USB-C,4,2025-07-25 22:11:00,Valencia,25,7,100
1034,Teclado Mecánico,4,2025-09-19 17:43:00,Madrid,120,9,480
1035,Google Pixel 8,1,2025-12-17 07:15:00,Barcelona,699,12,699
1036,iPhone 15,1,2025-05-14 06:25:00,Barcelona,999,5,999
1037,MacBook Pro,1,2025-10-30 19:20:00,Valencia,1499,10,1499
1038,MacBook Pro,3,2025-06-24 15:46:00,Sevilla,1499,6,4497
1039,Google Pixel 8,1,2025-08-15 08:51:00,Bilbao,699,8,699
1040,Teclado Mecánico,1,2025-11-29 01:04:00,Valencia,120,11,120
1041,MacBook Pro,2,2025-02-06 05:45:00,Barcelona,1499,2,2998
1043,iPhone 15,1,2025-10-28 04:21:00,Bilbao,999,10,999
1044,Cargador USB-C,2,2025-09-28 06:34:00,Barcelona,25,9,50
1045,Teclado Mecánico,3,2025-12-01 21:34:00,Valencia,120,12,360
1046,MacBook Pro,1,2025-11-22 20:11:00,Bilbao,1499,11,1499
1047,MacBook Pro,2,2025-11-27 06:29:00,Valencia,1499,11,2998
1048,Cargador USB-C,4,2025-11-04 16:56:00,Valencia,25,11,100
1049,Teclado Mecánico,2,2025-10-14 05:24:00,Valencia,120,10,240
1050,iPhone 15,2,2025-05-03 15:05:00,Valencia,999,5,1998
1051,MacBook Pro,2,2025-08-29 09:39:00,Bilbao,1499,8,2998
1052,AirPods Pro,3,2025-10-30 13:51:00,Valencia,249,10,747
1053,MacBook Pro,1,2025-08-05 09:33:00,Sevilla,1499,8,1499
1054,Cargador USB-C,1,2025-08-03 18:37:00,Valencia,25,8,25
1055,Teclado Mecánico,1,2025-08-26 22:21:00,Madrid,120,8,120
1056,Google Pixel 8,2,2025-01-09 18:16:00,Barcelona,699,1,1398
1057,Cargador USB-C,4,2025-09-17 11:47:00,Sevilla,25,9,100
1058,Google Pixel 8,3,2025-03-09 02:29:00,Barcelona,699,3,2097
1059,Monitor 4K,1,2025-10-19 17:16:00,Valencia,399,10,399
1060,Monitor 4K,1,2025-10-04 04:14:00,Madrid,399,10,399
1061,Monitor 4K,2,2025-05-12 01:52:00,Madrid,399,5,798
1062,Cargador USB-C,3,2025-10-24 13:59:00,Valencia,25,10,75
1063,iPhone 15,2,2025-01-24 17:55:00,Madrid,999,1,1998
1064,AirPods Pro,1,2025-08-14 16:18:00,Valencia,249,8,249
1066,Google Pixel 8,1,2025-05-11 09:14:00,Valencia,699,5,699
1067,Teclado Mecánico,3,2025-07-07 22:26:00,Bilbao,120,7,360
1068,AirPods Pro,4,2025-08-10 17:29:00,Valencia,249,8,996
1069,Google Pixel 8,3,2025-10-21 00:47:00,Barcelona,699,10,2097
1070,Cargador USB-C,2,2025-01-14 10:23:00,Barcelona,25,1,50
1071,Cargador USB-C,3,2025-02-03 23:27:00,Bilbao,25,2,75
1072,Monitor 4K,4,2025-11-23 00:44:00,Sevilla,399,11,1596
1073,AirPods Pro,3,2025-03-22 18:22:00,Madrid,249,3,747
1074,AirPods Pro,2,2025-05-17 03:46:00,Barcelona,249,5,498
1075,Teclado Mecánico,3,2025-10-06 00:48:00,Madrid,120,10,360
